Year,Period,Area,Ownership,Industry Code,Industry,Level,Establishments,Firms,Average Employment,Average Weekly Wage,Total Wages,Month 1 Employment,Month 2 Employment,Month 3 Employment,Hierarchical Ordering
2008,3,Trinity,Private,52,Finance and Insurance,2,10 ,10 ,48 ,540 ,"336,671 ",48 ,48 ,48 ,1775
2008,3,Childress,Private,52,Finance and Insurance,2,10 ,10 ,48 ,818 ,"510,719 ",48 ,48 ,48 ,1775
2008,3,Mason,Private,52,Finance and Insurance,2,10 ,10 ,57 ,615 ,"455,845 ",54 ,58 ,59 ,1775
2008,3,Winkler,Private,52,Finance and Insurance,2,10 ,10 ,62 ,703 ,"566,747 ",61 ,64 ,61 ,1775
2008,3,Wheeler,Private,52,Finance and Insurance,2,10 ,10 ,62 ,641 ,"516,527 ",63 ,62 ,61 ,1775
2008,3,Coleman,Private,52,Finance and Insurance,2,10 ,10 ,95 ,748 ,"926,487 ",97 ,96 ,93 ,1775
2008,3,Hansford,Private,52,Finance and Insurance,2,10 ,10 ,104 ,593 ,"798,778 ",106 ,105 ,100 ,1775
2008,3,Callahan,Private,52,Finance and Insurance,2,12 ,10 ,85 ,735 ,"814,925 ",84 ,85 ,87 ,1775
2008,3,Yoakum,Private,52,Finance and Insurance,2,11 ,11 ,53 ,829 ,"571,234 ",53 ,51 ,55 ,1775
2008,3,Hamilton,Private,52,Finance and Insurance,2,11 ,11 ,55 ,760 ,"546,691 ",56 ,56 ,54 ,1775
2008,3,Floyd,Private,52,Finance and Insurance,2,12 ,11 ,57 ,638 ,"472,579 ",57 ,57 ,57 ,1775
2008,3,Ward,Private,52,Finance and Insurance,2,12 ,11 ,75 ,677 ,"660,260 ",76 ,73 ,76 ,1775
2008,3,Lynn,Private,52,Finance and Insurance,2,12 ,12 ,55 ,562 ,"402,085 ",55 ,55 ,55 ,1775
2008,3,Bailey,Private,52,Finance and Insurance,2,12 ,12 ,74 ,714 ,"683,979 ",74 ,74 ,73 ,1775
2008,3,Frio,Private,52,Finance and Insurance,2,12 ,12 ,94 ,726 ,"887,213 ",93 ,95 ,94 ,1775
2008,3,Baylor,Private,52,Finance and Insurance,2,13 ,13 ,60 ,535 ,"419,925 ",61 ,61 ,59 ,1775
2008,3,McCulloch,Private,52,Finance and Insurance,2,13 ,13 ,86 ,621 ,"691,576 ",87 ,85 ,85 ,1775
2008,3,Clay,Private,52,Finance and Insurance,2,14 ,13 ,56 ,809 ,"588,694 ",58 ,56 ,54 ,1775
2008,3,Karnes,Private,52,Finance and Insurance,2,14 ,13 ,99 ,704 ,"908,970 ",99 ,100 ,99 ,1775
2008,3,Comanche,Private,52,Finance and Insurance,2,15 ,13 ,149 ,770 ,"1,490,879 ",151 ,150 ,146 ,1775
2008,3,Morris,Private,52,Finance and Insurance,2,19 ,13 ,141 ,671 ,"1,230,312 ",140 ,141 ,142 ,1775
2008,3,Castro,Private,52,Finance and Insurance,2,14 ,14 ,62 ,804 ,"644,532 ",62 ,62 ,61 ,1775
2008,3,Willacy,Private,52,Finance and Insurance,2,14 ,14 ,76 ,"1,145 ","1,126,297 ",77 ,75 ,75 ,1775
2008,3,Parmer,Private,52,Finance and Insurance,2,14 ,14 ,82 ,555 ,"589,492 ",81 ,81 ,83 ,1775
2008,3,Reeves,Private,52,Finance and Insurance,2,14 ,14 ,149 ,482 ,"932,811 ",145 ,153 ,149 ,1775
2008,3,Robertson,Private,52,Finance and Insurance,2,16 ,14 ,105 ,805 ,"1,099,065 ",104 ,105 ,106 ,1775
2008,3,Swisher,Private,52,Finance and Insurance,2,15 ,15 ,70 ,779 ,"709,215 ",78 ,67 ,65 ,1775
2008,3,Madison,Private,52,Finance and Insurance,2,15 ,15 ,92 ,795 ,"954,337 ",93 ,93 ,91 ,1775
2008,3,Hemphill,Private,52,Finance and Insurance,2,15 ,15 ,97 ,765 ,"964,841 ",97 ,97 ,97 ,1775
2008,3,Camp,Private,52,Finance and Insurance,2,15 ,15 ,275 ,484 ,"1,729,025 ",274 ,278 ,273 ,1775
2008,3,Gaines,Private,52,Finance and Insurance,2,17 ,15 ,140 ,588 ,"1,067,260 ",141 ,141 ,137 ,1775
2008,3,Tyler,Private,52,Finance and Insurance,2,18 ,15 ,114 ,557 ,"823,238 ",116 ,114 ,111 ,1775
2008,3,Leon,Private,52,Finance and Insurance,2,19 ,15 ,142 ,706 ,"1,300,414 ",142 ,144 ,139 ,1775
2008,3,Ochiltree,Private,52,Finance and Insurance,2,16 ,16 ,115 ,722 ,"1,076,023 ",115 ,113 ,116 ,1775
2008,3,Falls,Private,52,Finance and Insurance,2,17 ,16 ,84 ,577 ,"627,783 ",84 ,83 ,84 ,1775
2008,3,Stephens,Private,52,Finance and Insurance,2,17 ,16 ,130 ,"1,229 ","2,081,851 ",135 ,130 ,126 ,1775
2008,3,Bandera,Private,52,Finance and Insurance,2,18 ,16 ,81 ,682 ,"715,476 ",82 ,80 ,80 ,1775
2008,3,Andrews,Private,52,Finance and Insurance,2,17 ,17 ,217 ,776 ,"2,187,822 ",216 ,220 ,215 ,1775
2008,3,Brewster,Private,52,Finance and Insurance,2,18 ,17 ,131 ,774 ,"1,318,668 ",134 ,130 ,129 ,1775
2008,3,Grimes,Private,52,Finance and Insurance,2,18 ,17 ,138 ,633 ,"1,132,445 ",138 ,137 ,138 ,1775
2008,3,Pecos,Private,52,Finance and Insurance,2,18 ,17 ,185 ,553 ,"1,329,781 ",184 ,187 ,184 ,1775
2008,3,Bosque,Private,52,Finance and Insurance,2,20 ,18 ,168 ,817 ,"1,788,672 ",168 ,170 ,167 ,1775
2008,3,Red River,Private,52,Finance and Insurance,2,19 ,19 ,77 ,651 ,"648,614 ",78 ,76 ,76 ,1775
2008,3,Gonzales,Private,52,Finance and Insurance,2,24 ,19 ,183 ,659 ,"1,570,600 ",181 ,185 ,184 ,1775
2008,3,Runnels,Private,52,Finance and Insurance,2,21 ,20 ,109 ,612 ,"864,408 ",111 ,110 ,105 ,1775
2008,3,Waller,Private,52,Finance and Insurance,2,21 ,20 ,115 ,633 ,"946,898 ",115 ,115 ,115 ,1775
2008,3,Calhoun,Private,52,Finance and Insurance,2,21 ,20 ,181 ,563 ,"1,324,851 ",182 ,182 ,179 ,1775
2008,3,Scurry,Private,52,Finance and Insurance,2,22 ,20 ,177 ,596 ,"1,370,883 ",176 ,174 ,181 ,1775
2008,3,Burleson,Private,52,Finance and Insurance,2,23 ,20 ,140 ,550 ,"1,003,984 ",141 ,138 ,142 ,1775
2008,3,Lee,Private,52,Finance and Insurance,2,24 ,20 ,219 ,690 ,"1,963,943 ",220 ,218 ,219 ,1775
2008,3,Dawson,Private,52,Finance and Insurance,2,21 ,21 ,109 ,529 ,"746,621 ",104 ,108 ,114 ,1775
2008,3,Jackson,Private,52,Finance and Insurance,2,22 ,21 ,109 ,481 ,"683,584 ",109 ,110 ,109 ,1775
2008,3,Freestone,Private,52,Finance and Insurance,2,22 ,21 ,116 ,688 ,"1,040,341 ",119 ,117 ,113 ,1775
2008,3,Panola,Private,52,Finance and Insurance,2,22 ,21 ,176 ,726 ,"1,657,889 ",176 ,175 ,176 ,1775
2008,3,Colorado,Private,52,Finance and Insurance,2,23 ,21 ,162 ,666 ,"1,405,269 ",165 ,163 ,159 ,1775
2008,3,Lampasas,Private,52,Finance and Insurance,2,23 ,22 ,111 ,655 ,"947,462 ",111 ,115 ,108 ,1775
2008,3,Nolan,Private,52,Finance and Insurance,2,24 ,22 ,160 ,673 ,"1,403,621 ",160 ,161 ,160 ,1775
2008,3,Hutchinson,Private,52,Finance and Insurance,2,27 ,22 ,159 ,704 ,"1,455,944 ",161 ,161 ,155 ,1775
2008,3,Terry,Private,52,Finance and Insurance,2,23 ,23 ,99 ,673 ,"863,801 ",98 ,99 ,99 ,1775
2008,3,Deaf Smith,Private,52,Finance and Insurance,2,24 ,23 ,161 ,652 ,"1,365,518 ",164 ,161 ,158 ,1775
2008,3,Wilbarger,Private,52,Finance and Insurance,2,24 ,23 ,182 ,627 ,"1,483,800 ",180 ,185 ,181 ,1775
2008,3,Jones,Private,52,Finance and Insurance,2,25 ,23 ,120 ,816 ,"1,269,144 ",116 ,124 ,119 ,1775
2008,3,Aransas,Private,52,Finance and Insurance,2,25 ,23 ,157 ,699 ,"1,429,059 ",157 ,157 ,158 ,1775
2008,3,Montague,Private,52,Finance and Insurance,2,25 ,23 ,200 ,809 ,"2,103,545 ",197 ,200 ,203 ,1775
2008,3,Eastland,Private,52,Finance and Insurance,2,27 ,23 ,119 ,632 ,"980,636 ",119 ,119 ,120 ,1775
2008,3,Dallam,Private,52,Finance and Insurance,2,24 ,24 ,132 ,893 ,"1,532,320 ",131 ,130 ,135 ,1775
2008,3,Moore,Private,52,Finance and Insurance,2,25 ,24 ,149 ,540 ,"1,045,507 ",149 ,150 ,148 ,1775
2008,3,Chambers,Private,52,Finance and Insurance,2,26 ,24 ,164 ,673 ,"1,435,483 ",165 ,168 ,159 ,1775
2008,3,Wilson,Private,52,Finance and Insurance,2,27 ,24 ,150 ,719 ,"1,398,915 ",144 ,151 ,154 ,1775
2008,3,Milam,Private,52,Finance and Insurance,2,30 ,24 ,218 ,710 ,"2,012,679 ",221 ,216 ,217 ,1775
2008,3,Lamb,Private,52,Finance and Insurance,2,31 ,24 ,198 ,624 ,"1,608,706 ",203 ,197 ,195 ,1775
2008,3,Limestone,Private,52,Finance and Insurance,2,29 ,25 ,245 ,604 ,"1,921,645 ",245 ,243 ,246 ,1775
2008,3,Lavaca,Private,52,Finance and Insurance,2,26 ,26 ,194 ,554 ,"1,400,124 ",197 ,193 ,193 ,1775
2008,3,Uvalde,Private,52,Finance and Insurance,2,33 ,26 ,221 ,516 ,"1,480,780 ",223 ,219 ,220 ,1775
2008,3,Llano,Private,52,Finance and Insurance,2,37 ,26 ,228 ,738 ,"2,184,267 ",232 ,228 ,223 ,1775
2008,3,Caldwell,Private,52,Finance and Insurance,2,28 ,27 ,177 ,624 ,"1,434,253 ",179 ,177 ,174 ,1775
2008,3,Bee,Private,52,Finance and Insurance,2,29 ,27 ,179 ,671 ,"1,559,316 ",181 ,179 ,176 ,1775
2008,3,Palo Pinto,Private,52,Finance and Insurance,2,32 ,27 ,211 ,636 ,"1,741,922 ",225 ,206 ,201 ,1775
2008,3,Starr,Private,52,Finance and Insurance,2,34 ,28 ,243 ,438 ,"1,386,451 ",245 ,245 ,240 ,1775
2008,3,Upshur,Private,52,Finance and Insurance,2,30 ,29 ,231 ,623 ,"1,871,543 ",235 ,232 ,226 ,1775
2008,3,DeWitt,Private,52,Finance and Insurance,2,35 ,29 ,325 ,682 ,"2,877,318 ",328 ,323 ,323 ,1775
2008,3,Young,Private,52,Finance and Insurance,2,33 ,30 ,266 ,669 ,"2,313,634 ",268 ,267 ,263 ,1775
2008,3,Shelby,Private,52,Finance and Insurance,2,33 ,30 ,270 ,613 ,"2,150,271 ",270 ,266 ,273 ,1775
2008,3,Medina,Private,52,Finance and Insurance,2,36 ,31 ,332 ,743 ,"3,205,262 ",336 ,329 ,330 ,1775
2008,3,Cass,Private,52,Finance and Insurance,2,36 ,32 ,240 ,610 ,"1,905,494 ",238 ,239 ,244 ,1775
2008,3,Houston,Private,52,Finance and Insurance,2,34 ,33 ,194 ,"1,070 ","2,702,482 ",195 ,199 ,189 ,1775
2008,3,Jasper,Private,52,Finance and Insurance,2,40 ,33 ,291 ,534 ,"2,018,471 ",293 ,291 ,288 ,1775
2008,3,Bastrop,Private,52,Finance and Insurance,2,43 ,33 ,393 ,737 ,"3,764,971 ",393 ,391 ,395 ,1775
2008,3,Polk,Private,52,Finance and Insurance,2,35 ,34 ,330 ,691 ,"2,959,964 ",331 ,332 ,326 ,1775
2008,3,Fannin,Private,52,Finance and Insurance,2,38 ,35 ,425 ,704 ,"3,887,434 ",427 ,421 ,426 ,1775
2008,3,Van Zandt,Private,52,Finance and Insurance,2,41 ,35 ,249 ,638 ,"2,062,034 ",253 ,247 ,246 ,1775
2008,3,Hopkins,Private,52,Finance and Insurance,2,41 ,35 ,377 ,709 ,"3,472,675 ",378 ,378 ,374 ,1775
2008,3,Atascosa,Private,52,Finance and Insurance,2,41 ,37 ,284 ,653 ,"2,413,013 ",276 ,280 ,297 ,1775
2008,3,Matagorda,Private,52,Finance and Insurance,2,42 ,37 ,219 ,712 ,"2,023,082 ",219 ,220 ,217 ,1775
2008,3,Fayette,Private,52,Finance and Insurance,2,42 ,37 ,455 ,774 ,"4,572,533 ",458 ,457 ,449 ,1775
2008,3,Hockley,Private,52,Finance and Insurance,2,40 ,38 ,203 ,789 ,"2,083,386 ",203 ,204 ,202 ,1775
2008,3,Titus,Private,52,Finance and Insurance,2,42 ,38 ,364 ,734 ,"3,471,395 ",367 ,366 ,358 ,1775
2008,3,Coryell,Private,52,Finance and Insurance,2,52 ,38 ,565 ,571 ,"4,193,986 ",570 ,561 ,563 ,1775
2008,3,Cooke,Private,52,Finance and Insurance,2,41 ,39 ,384 ,716 ,"3,571,148 ",383 ,386 ,382 ,1775
2008,3,Kleberg,Private,52,Finance and Insurance,2,46 ,39 ,298 ,755 ,"2,924,228 ",299 ,297 ,298 ,1775
2008,3,Howard,Private,52,Finance and Insurance,2,42 ,40 ,289 ,677 ,"2,547,735 ",291 ,288 ,289 ,1775
2008,3,Rusk,Private,52,Finance and Insurance,2,47 ,40 ,458 ,743 ,"4,426,291 ",465 ,455 ,455 ,1775
2008,3,Brown,Private,52,Finance and Insurance,2,43 ,41 ,401 ,699 ,"3,648,173 ",408 ,401 ,395 ,1775
2008,3,Gray,Private,52,Finance and Insurance,2,44 ,41 ,191 ,680 ,"1,690,228 ",203 ,191 ,180 ,1775
2008,3,Hill,Private,52,Finance and Insurance,2,46 ,41 ,232 ,587 ,"1,767,153 ",233 ,230 ,232 ,1775
2008,3,Hardin,Private,52,Finance and Insurance,2,48 ,41 ,197 ,663 ,"1,694,352 ",197 ,196 ,197 ,1775
2008,3,Jim Wells,Private,52,Finance and Insurance,2,48 ,43 ,371 ,732 ,"3,527,121 ",365 ,369 ,378 ,1775
2008,3,Val Verde,Private,52,Finance and Insurance,2,50 ,43 ,435 ,490 ,"2,770,157 ",438 ,435 ,432 ,1775
2008,3,Liberty,Private,52,Finance and Insurance,2,54 ,43 ,359 ,630 ,"2,937,489 ",360 ,360 ,356 ,1775
2008,3,Cherokee,Private,52,Finance and Insurance,2,49 ,44 ,417 ,721 ,"3,909,154 ",414 ,419 ,419 ,1775
2008,3,Austin,Private,52,Finance and Insurance,2,48 ,45 ,303 ,911 ,"3,583,119 ",306 ,304 ,298 ,1775
2008,3,Wood,Private,52,Finance and Insurance,2,62 ,45 ,417 ,674 ,"3,653,327 ",413 ,419 ,419 ,1775
2008,3,Gillespie,Private,52,Finance and Insurance,2,51 ,46 ,276 ,779 ,"2,792,179 ",274 ,280 ,273 ,1775
2008,3,Wise,Private,52,Finance and Insurance,2,58 ,46 ,361 ,741 ,"3,475,981 ",365 ,363 ,355 ,1775
2008,3,San Patricio,Private,52,Finance and Insurance,2,65 ,49 ,349 ,603 ,"2,738,912 ",352 ,348 ,348 ,1775
2008,3,Maverick,Private,52,Finance and Insurance,2,59 ,51 ,404 ,380 ,"1,995,330 ",408 ,401 ,402 ,1775
2008,3,Burnet,Private,52,Finance and Insurance,2,63 ,51 ,466 ,694 ,"4,202,425 ",470 ,467 ,461 ,1775
2008,3,Erath,Private,52,Finance and Insurance,2,57 ,52 ,386 ,708 ,"3,553,501 ",387 ,389 ,383 ,1775
2008,3,Hale,Private,52,Finance and Insurance,2,61 ,54 ,293 ,591 ,"2,253,604 ",296 ,294 ,290 ,1775
2008,3,Washington,Private,52,Finance and Insurance,2,57 ,55 ,699 ,860 ,"7,812,803 ",703 ,701 ,692 ,1775
2008,3,Henderson,Private,52,Finance and Insurance,2,77 ,58 ,394 ,657 ,"3,364,580 ",394 ,392 ,396 ,1775
2008,3,Navarro,Private,52,Finance and Insurance,2,64 ,59 ,377 ,623 ,"3,051,221 ",374 ,381 ,376 ,1775
2008,3,Kendall,Private,52,Finance and Insurance,2,66 ,59 ,441 ,769 ,"4,410,669 ",444 ,443 ,437 ,1775
2008,3,Wharton,Private,52,Finance and Insurance,2,67 ,59 ,561 ,891 ,"6,497,543 ",563 ,569 ,550 ,1775
2008,3,Walker,Private,52,Finance and Insurance,2,68 ,60 ,371 ,617 ,"2,977,660 ",367 ,373 ,373 ,1775
2008,3,Hood,Private,52,Finance and Insurance,2,76 ,60 ,455 ,819 ,"4,839,713 ",450 ,452 ,462 ,1775
2008,3,Lamar,Private,52,Finance and Insurance,2,66 ,61 ,734 ,624 ,"5,950,111 ",729 ,729 ,744 ,1775
2008,3,Nacogdoches,Private,52,Finance and Insurance,2,73 ,62 ,571 ,773 ,"5,731,344 ",572 ,570 ,570 ,1775
2008,3,Anderson,Private,52,Finance and Insurance,2,69 ,65 ,465 ,875 ,"5,287,977 ",467 ,469 ,458 ,1775
2008,3,Guadalupe,Private,52,Finance and Insurance,2,87 ,71 ,586 ,766 ,"5,836,625 ",585 ,582 ,591 ,1775
2008,3,Kerr,Private,52,Finance and Insurance,2,85 ,74 ,519 ,877 ,"5,918,523 ",514 ,520 ,524 ,1775
2008,3,Orange,Private,52,Finance and Insurance,2,93 ,74 ,846 ,690 ,"7,595,552 ",838 ,855 ,846 ,1775
2008,3,Harrison,Private,52,Finance and Insurance,2,88 ,75 ,"1,115 ",827 ,"11,990,505 ","1,111 ","1,119 ","1,115 ",1775
2008,3,Hunt,Private,52,Finance and Insurance,2,96 ,75 ,509 ,785 ,"5,193,196 ",516 ,507 ,503 ,1775
2008,3,Kaufman,Private,52,Finance and Insurance,2,98 ,75 ,736 ,"1,057 ","10,112,211 ",736 ,735 ,737 ,1775
2008,3,Parker,Private,52,Finance and Insurance,2,99 ,78 ,565 ,856 ,"6,281,228 ",573 ,558 ,563 ,1775
2008,3,Rockwall,Private,52,Finance and Insurance,2,112 ,95 ,615 ,976 ,"7,803,153 ",615 ,616 ,614 ,1775
2008,3,Angelina,Private,52,Finance and Insurance,2,126 ,99 ,941 ,724 ,"8,859,251 ",943 ,943 ,938 ,1775
2008,3,Ellis,Private,52,Finance and Insurance,2,142 ,104 ,777 ,752 ,"7,595,456 ",793 ,773 ,765 ,1775
2008,3,Victoria,Private,52,Finance and Insurance,2,144 ,112 ,"1,122 ",837 ,"12,204,852 ","1,114 ","1,118 ","1,134 ",1775
2008,3,Johnson,Private,52,Finance and Insurance,2,150 ,114 ,784 ,683 ,"6,953,307 ",781 ,788 ,782 ,1775
2008,3,Hays,Private,52,Finance and Insurance,2,148 ,118 ,956 ,883 ,"10,979,302 ",967 ,950 ,951 ,1775
2008,3,Bowie,Private,52,Finance and Insurance,2,172 ,119 ,"1,708 ",971 ,"21,559,384 ","1,692 ","1,712 ","1,721 ",1775
2008,3,Grayson,Private,52,Finance and Insurance,2,170 ,122 ,"2,071 ",716 ,"19,287,401 ","2,073 ","2,072 ","2,069 ",1775
2008,3,Randall,Private,52,Finance and Insurance,2,155 ,124 ,"1,709 ",764 ,"16,960,024 ","1,729 ","1,728 ","1,669 ",1775
2008,3,Comal,Private,52,Finance and Insurance,2,147 ,125 ,719 ,779 ,"7,288,277 ",713 ,719 ,726 ,1775
2008,3,Ector,Private,52,Finance and Insurance,2,185 ,142 ,"1,284 ",751 ,"12,533,676 ","1,280 ","1,282 ","1,289 ",1775
2008,3,Tom Green,Private,52,Finance and Insurance,2,194 ,153 ,"1,560 ",699 ,"14,173,187 ","1,564 ","1,556 ","1,559 ",1775
2008,3,Webb,Private,52,Finance and Insurance,2,216 ,155 ,"3,228 ",517 ,"21,701,348 ","3,258 ","3,237 ","3,188 ",1775
2008,3,Wichita,Private,52,Finance and Insurance,2,205 ,156 ,"1,855 ",789 ,"19,017,280 ","1,848 ","1,854 ","1,863 ",1775
2008,3,Brazos,Private,52,Finance and Insurance,2,209 ,162 ,"1,456 ",848 ,"16,044,420 ","1,451 ","1,456 ","1,461 ",1775
2008,3,Taylor,Private,52,Finance and Insurance,2,241 ,181 ,"2,602 ",751 ,"25,393,270 ","2,599 ","2,600 ","2,608 ",1775
2008,3,Gregg,Private,52,Finance and Insurance,2,263 ,194 ,"1,930 ",833 ,"20,891,427 ","1,934 ","1,931 ","1,925 ",1775
2008,3,Brazoria,Private,52,Finance and Insurance,2,278 ,197 ,"1,894 ",752 ,"18,524,176 ","1,895 ","1,898 ","1,888 ",1775
2008,3,Bell,Private,52,Finance and Insurance,2,270 ,200 ,"3,339 ",735 ,"31,895,168 ","3,408 ","3,329 ","3,280 ",1775
2008,3,Galveston,Private,52,Finance and Insurance,2,303 ,210 ,"4,271 ",949 ,"52,719,042 ","4,265 ","4,295 ","4,254 ",1775
2008,3,Potter,Private,52,Finance and Insurance,2,259 ,225 ,"3,769 ",749 ,"36,719,343 ","3,818 ","3,783 ","3,705 ",1775
2008,3,Midland,Private,52,Finance and Insurance,2,294 ,239 ,"2,274 ",993 ,"29,362,747 ","2,253 ","2,279 ","2,289 ",1775
2008,3,Cameron,Private,52,Finance and Insurance,2,364 ,252 ,"3,059 ",579 ,"23,023,260 ","3,065 ","3,068 ","3,043 ",1775
2008,3,Jefferson,Private,52,Finance and Insurance,2,337 ,253 ,"2,615 ",815 ,"27,699,646 ","2,617 ","2,623 ","2,606 ",1775
2008,3,McLennan,Private,52,Finance and Insurance,2,323 ,262 ,"5,002 ",901 ,"58,565,605 ","5,000 ","5,012 ","4,995 ",1775
2008,3,Williamson,Private,52,Finance and Insurance,2,471 ,299 ,"5,461 ","1,047 ","74,293,886 ","5,468 ","5,457 ","5,458 ",1775
2008,3,Smith,Private,52,Finance and Insurance,2,383 ,306 ,"2,945 ",898 ,"34,376,434 ","2,938 ","2,948 ","2,949 ",1775
2008,3,Nueces,Private,52,Finance and Insurance,2,499 ,356 ,"4,304 ",857 ,"47,942,694 ","4,298 ","4,320 ","4,293 ",1775
2008,3,Montgomery,Private,52,Finance and Insurance,2,527 ,385 ,"4,041 ","1,084 ","56,952,022 ","4,056 ","4,060 ","4,007 ",1775
2008,3,Hidalgo,Private,52,Finance and Insurance,2,604 ,385 ,"6,497 ",670 ,"56,577,914 ","6,527 ","6,504 ","6,461 ",1775
2008,3,Fort Bend,Private,52,Finance and Insurance,2,532 ,389 ,"3,745 ","1,322 ","64,361,514 ","3,762 ","3,758 ","3,715 ",1775
2008,3,Lubbock,Private,52,Finance and Insurance,2,510 ,406 ,"5,128 ",875 ,"58,313,483 ","5,132 ","5,130 ","5,121 ",1775
2008,3,Denton,Private,52,Finance and Insurance,2,660 ,457 ,"5,452 ","1,045 ","74,073,205 ","5,410 ","5,470 ","5,476 ",1775
2008,3,El Paso,Private,52,Finance and Insurance,2,771 ,509 ,"7,598 ",736 ,"72,681,402 ","7,552 ","7,630 ","7,613 ",1775
2008,3,Collin,Private,52,Finance and Insurance,2,"1,312 ",892 ,"25,132 ","1,178 ","384,781,147 ","25,264 ","25,145 ","24,986 ",1775
2008,3,Travis,Private,52,Finance and Insurance,2,"1,846 ","1,262 ","24,011 ","1,244 ","388,432,242 ","24,046 ","24,025 ","23,961 ",1775
2008,3,Bexar,Private,52,Finance and Insurance,2,"2,116 ","1,363 ","48,535 ","1,040 ","656,117,810 ","48,821 ","48,411 ","48,374 ",1775
2008,3,Tarrant,Private,52,Finance and Insurance,2,"2,507 ","1,632 ","33,950 ","1,076 ","474,964,085 ","34,127 ","33,996 ","33,726 ",1775
2008,3,Dallas,Private,52,Finance and Insurance,2,"4,998 ","3,412 ","106,453 ","1,405 ","1,944,133,298 ","106,615 ","106,895 ","105,850 ",1775
2008,3,Harris,Private,52,Finance and Insurance,2,"5,851 ","3,938 ","74,735 ","1,476 ","1,434,255,056 ","74,938 ","74,943 ","74,325 ",1775
2008,4,McMullen,Private,52,Finance and Insurance,2,3 ,3 ,6 ,759 ,"62,516 ",6 ,6 ,7 ,1775
2008,4,Newton,Private,52,Finance and Insurance,2,3 ,3 ,10 ,630 ,"84,639 ",11 ,10 ,10 ,1775
2008,4,Hartley,Private,52,Finance and Insurance,2,3 ,3 ,13 ,741 ,"122,086 ",13 ,13 ,12 ,1775
2008,4,Stonewall,Private,52,Finance and Insurance,2,3 ,3 ,13 ,830 ,"143,838 ",13 ,13 ,14 ,1775
2008,4,Jeff Davis,Private,52,Finance and Insurance,2,3 ,3 ,22 ,796 ,"231,003 ",21 ,23 ,23 ,1775
2008,4,Schleicher,Private,52,Finance and Insurance,2,3 ,3 ,22 ,709 ,"199,572 ",22 ,21 ,22 ,1775
2008,4,Concho,Private,52,Finance and Insurance,2,3 ,3 ,28 ,"1,043 ","384,220 ",29 ,28 ,28 ,1775
2008,4,Real,Private,52,Finance and Insurance,2,4 ,3 ,15 ,591 ,"117,725 ",16 ,16 ,14 ,1775
2008,4,Upton,Private,52,Finance and Insurance,2,4 ,4 ,13 ,531 ,"91,976 ",13 ,13 ,14 ,1775
2008,4,Delta,Private,52,Finance and Insurance,2,4 ,4 ,19 ,"1,101 ","276,684 ",19 ,19 ,20 ,1775
2008,4,Coke,Private,52,Finance and Insurance,2,4 ,4 ,22 ,670 ,"188,742 ",21 ,21 ,23 ,1775
2008,4,Sherman,Private,52,Finance and Insurance,2,4 ,4 ,24 ,"1,121 ","349,793 ",22 ,25 ,25 ,1775
2008,4,Mitchell,Private,52,Finance and Insurance,2,4 ,4 ,28 ,723 ,"263,032 ",28 ,28 ,28 ,1775
2008,4,Martin,Private,52,Finance and Insurance,2,4 ,4 ,30 ,776 ,"302,460 ",30 ,30 ,30 ,1775
2008,4,Donley,Private,52,Finance and Insurance,2,4 ,4 ,31 ,"1,017 ","409,890 ",31 ,31 ,31 ,1775
2008,4,Collingsworth,Private,52,Finance and Insurance,2,4 ,4 ,35 ,"1,295 ","589,018 ",35 ,35 ,35 ,1775
2008,4,Reagan,Private,52,Finance and Insurance,2,5 ,5 ,24 ,542 ,"166,869 ",24 ,24 ,23 ,1775
2008,4,Kimble,Private,52,Finance and Insurance,2,5 ,5 ,37 ,991 ,"480,863 ",38 ,37 ,37 ,1775
2008,4,Zavala,Private,52,Finance and Insurance,2,5 ,5 ,38 ,588 ,"293,193 ",38 ,39 ,38 ,1775
2008,4,Crockett,Private,52,Finance and Insurance,2,5 ,5 ,41 ,947 ,"500,682 ",41 ,40 ,41 ,1775
2008,4,Fisher,Private,52,Finance and Insurance,2,5 ,5 ,45 ,"1,021 ","597,093 ",44 ,44 ,47 ,1775
2008,4,Presidio,Private,52,Finance and Insurance,2,5 ,5 ,52 ,662 ,"447,802 ",52 ,52 ,52 ,1775
2008,4,Cochran,Private,52,Finance and Insurance,2,6 ,5 ,20 ,798 ,"204,141 ",21 ,19 ,19 ,1775
2008,4,Shackelford,Private,52,Finance and Insurance,2,6 ,5 ,38 ,765 ,"374,728 ",39 ,37 ,37 ,1775
2008,4,San Jacinto,Private,52,Finance and Insurance,2,6 ,5 ,48 ,776 ,"480,844 ",47 ,48 ,48 ,1775
2008,4,Lipscomb,Private,52,Finance and Insurance,2,6 ,6 ,23 ,800 ,"239,071 ",23 ,23 ,23 ,1775
2008,4,Garza,Private,52,Finance and Insurance,2,6 ,6 ,28 ,621 ,"226,131 ",28 ,28 ,28 ,1775
2008,4,Goliad,Private,52,Finance and Insurance,2,6 ,6 ,32 ,686 ,"285,170 ",32 ,32 ,32 ,1775
2008,4,Menard,Private,52,Finance and Insurance,2,6 ,6 ,33 ,672 ,"288,095 ",32 ,34 ,33 ,1775
2008,4,Hall,Private,52,Finance and Insurance,2,6 ,6 ,46 ,614 ,"364,330 ",45 ,46 ,46 ,1775
2008,4,Sutton,Private,52,Finance and Insurance,2,6 ,6 ,47 ,731 ,"443,468 ",47 ,47 ,46 ,1775
